N,U/L,Avg_Frac_1,Avg_Frac_2
4,8.7,0.9623999999999999,0.037599999999999995
4,8.8,0.9899,0.010100000000000003
4,8.9,0.8138000000000001,0.1862
4,9.0,0.9918,0.0082
4,9.1,0.9390000000000001,0.061000000000000006
4,9.2,0.9980000000000001,0.002
4,9.3,0.8056000000000002,0.1944
4,9.4,0.7958999999999999,0.2041
4,9.5,0.9956999999999999,0.004300000000000001
4,9.6,0.9662999999999999,0.0337
4,9.7,0.9941,0.0059
4,9.8,0.8171,0.18289999999999995
4,9.9,0.9778999999999999,0.022099999999999998
4,10.0,0.9964,0.0036
5,0.1,0.0,1.0
5,0.2,0.0,1.0
5,0.3,0.0,1.0
5,0.4,0.0,1.0
5,0.5,0.0,1.0
5,0.6,0.0,1.0
5,0.7,0.0,1.0
5,0.8,0.0,1.0
5,0.9,0.0,1.0
5,1.0,0.12930000000000003,0.8707
5,1.1,0.1183,0.8816999999999999
5,1.2,0.08109999999999999,0.9189
5,1.3,0.3322,0.6678000000000001
5,1.4,0.3085,0.6915
5,1.5,0.34739999999999993,0.6526000000000001
5,1.6,0.5836000000000001,0.4164
5,1.7,0.5198,0.4802
5,1.8,0.4982999999999999,0.5017
5,1.9,0.36889999999999995,0.6311000000000001
5,2.0,0.6376,0.3624
5,2.1,0.4599999999999999,0.54
5,2.2,0.5897,0.4103
5,2.3,0.6869000000000001,0.3131
5,2.4,0.5944,0.40559999999999996
5,2.5,0.7890999999999998,0.2109
5,2.6,0.5594,0.44059999999999994
5,2.7,0.5938,0.40619999999999995
5,2.8,0.7969999999999999,0.203
5,2.9,0.8034,0.1966
5,3.0,0.611,0.389
5,3.1,0.7898000000000001,0.21020000000000003
5,3.2,0.7714,0.2286
5,3.3,0.8214999999999999,0.1785
5,3.4,0.8678,0.1322
5,3.5,0.6553,0.3447
5,3.6,0.816,0.184
5,3.7,0.9165000000000001,0.08349999999999999
5,3.8,0.8001,0.1999
5,3.9,0.8277,0.17230000000000004
5,4.0,0.8122000000000001,0.18780000000000005
5,4.1,0.9007000000000001,0.09930000000000001
5,4.2,0.9135,0.08649999999999998
5,4.3,0.9522999999999999,0.04769999999999999
5,4.4,0.72,0.27999999999999997
5,4.5,0.9591999999999998,0.0408
5,4.6,0.9718000000000001,0.028200000000000003
5,4.7,0.7968000000000001,0.2032
5,4.8,0.7661999999999999,0.23379999999999998
5,4.9,0.8963,0.10370000000000001
5,5.0,0.8663,0.1337
5,5.1,0.9468000000000001,0.053200000000000004
5,5.2,0.9551999999999999,0.044800000000000006
5,5.3,0.7012999999999999,0.29869999999999997
5,5.4,0.9715,0.0285
5,5.5,0.9639,0.0361
5,5.6,0.9280999999999999,0.07190000000000002
5,5.7,0.8348,0.16520000000000004
5,5.8,0.9453,0.054700000000000006
5,5.9,0.8402,0.1598
5,6.0,0.9853999999999999,0.0146
5,6.1,0.8522000000000003,0.1478
5,6.2,0.98,0.02
5,6.3,0.8492999999999999,0.1507
5,6.4,0.8375000000000001,0.1625
5,6.5,0.9516000000000001,0.048400000000000006
5,6.6,0.8634,0.1366
5,6.7,0.9872,0.0128
5,6.8,0.9292,0.0708
5,6.9,0.9512999999999999,0.04869999999999999
5,7.0,0.9363999999999999,0.0636
5,7.1,0.9188999999999998,0.08109999999999999
5,7.2,0.8455000000000001,0.1545
5,7.3,0.92,0.08
5,7.4,0.9562,0.043800000000000006
5,7.5,0.8842,0.11580000000000001
5,7.6,0.8628999999999999,0.1371
5,7.7,0.8414,0.1586
5,7.8,0.8491000000000003,0.1509
5,7.9,0.9423,0.0577
5,8.0,0.9265000000000001,0.0735
5,8.1,0.9881,0.011899999999999999
5,8.2,0.9855000000000002,0.014500000000000002
5,8.3,0.9264,0.0736
5,8.4,0.897,0.10300000000000001
5,8.5,0.9571,0.0429
5,8.6,0.9692000000000002,0.0308
5,8.7,0.9828,0.017200000000000003
5,8.8,0.9746000000000001,0.0254
5,8.9,0.9745999999999999,0.0254
5,9.0,0.9564,0.0436
5,9.1,0.9652,0.034800000000000005
5,9.2,0.9765999999999999,0.023399999999999997
5,9.3,0.9740000000000001,0.026000000000000002
5,9.4,0.9933,0.0067
5,9.5,0.9703,0.029699999999999997
5,9.6,0.9872,0.012800000000000002
5,9.7,0.9822,0.017800000000000003
5,9.8,0.9847,0.015300000000000001
5,9.9,0.9701,0.029900000000000003
5,10.0,0.9915,0.0085
6,0.1,0.0,1.0
6,0.2,0.0,1.0
6,0.3,0.0,1.0
6,0.4,0.0,1.0
6,0.5,0.0,1.0
6,0.6,0.0,1.0
6,0.7,0.0,1.0
6,0.8,0.0,1.0
6,0.9,0.0,1.0
6,1.0,0.0,1.0
6,1.1,0.10860000000000002,0.8914
6,1.2,0.22939999999999997,0.7706000000000002
6,1.3,0.3874,0.6126
6,1.4,0.34600000000000003,0.6539999999999999
6,1.5,0.39039999999999997,0.6096
6,1.6,0.48050000000000004,0.5195000000000001
6,1.7,0.5923999999999999,0.4076000000000001
6,1.8,0.5463,0.45370000000000005
6,1.9,0.34690000000000004,0.6531
6,2.0,0.4977000000000001,0.5023000000000001
6,2.1,0.5797,0.4203
6,2.2,0.8092,0.19080000000000003
6,2.3,0.7236,0.2764
6,2.4,0.6543000000000001,0.3457
6,2.5,0.6997,0.30029999999999996
6,2.6,0.5653999999999999,0.4346000000000001
6,2.7,0.4109,0.5891000000000001
6,2.8,0.7676000000000001,0.23240000000000005
6,2.9,0.6507000000000001,0.34929999999999994
6,3.0,0.7366000000000001,0.26339999999999997
6,3.1,0.7509999999999999,0.24899999999999994
6,3.2,0.8712000000000001,0.1288
6,3.3,0.8153,0.18469999999999998
6,3.4,0.8422999999999999,0.1577
6,3.5,0.8347,0.1653
6,3.6,0.8156,0.1844
6,3.7,0.7139000000000002,0.2861
6,3.8,0.8382,0.16180000000000003
6,3.9,0.8896000000000001,0.1104
6,4.0,0.8987000000000002,0.10130000000000003
6,4.1,0.7695000000000001,0.2305
6,4.2,0.9337000000000001,0.06630000000000001
6,4.3,0.9875,0.0125
6,4.4,0.867,0.133
6,4.5,0.8402999999999998,0.1597
6,4.6,0.8736999999999999,0.1263
6,4.7,0.7219999999999999,0.27799999999999997
6,4.8,0.8583,0.1417
6,4.9,0.8476,0.1524
6,5.0,0.8859,0.11410000000000001
6,5.1,0.9213,0.07869999999999999
6,5.2,0.8810000000000001,0.11900000000000001
6,5.3,0.9791999999999998,0.0208
6,5.4,0.9522999999999999,0.047700000000000006
6,5.5,0.9081999999999999,0.09179999999999999
6,5.6,0.9831,0.0169
6,5.7,0.8634000000000001,0.1366
6,5.8,0.9706,0.0294
6,5.9,0.968,0.032
6,6.0,0.8127000000000001,0.1873
6,6.1,0.9346999999999999,0.0653
6,6.2,0.9006000000000001,0.09940000000000002
6,6.3,0.9245,0.07550000000000001
6,6.4,0.9322999999999999,0.0677
6,6.5,0.9719,0.028099999999999997
6,6.6,0.9519000000000001,0.0481
6,6.7,0.9462,0.0538
6,6.8,0.8694,0.13060000000000002
6,6.9,0.9433000000000001,0.0567
6,7.0,0.9270000000000002,0.07300000000000001
6,7.1,0.9597,0.040299999999999996
6,7.2,0.9611999999999999,0.0388
6,7.3,0.9695999999999999,0.0304
6,7.4,0.8813,0.11869999999999997
6,7.5,0.9803000000000001,0.0197
6,7.6,0.9641,0.0359
6,7.7,0.9603,0.0397
6,7.8,0.9610000000000001,0.03899999999999999
6,7.9,0.9451,0.054900000000000004
6,8.0,0.9107999999999999,0.0892
6,8.1,0.9821000000000001,0.0179
6,8.2,0.9690000000000001,0.031
6,8.3,0.9676,0.0324
6,8.4,0.7903,0.2097
6,8.5,0.9538,0.0462
6,8.6,0.9373999999999999,0.0626
6,8.7,0.9461999999999999,0.05379999999999999
6,8.8,0.9530000000000001,0.047
6,8.9,0.9641000000000001,0.0359
6,9.0,0.9388,0.061200000000000004
6,9.1,0.9680000000000001,0.032
6,9.2,0.9841999999999999,0.0158
6,9.3,0.9753999999999999,0.0246
6,9.4,0.9702000000000001,0.029800000000000004
6,9.5,0.8663999999999998,0.1336
6,9.6,0.9580000000000001,0.042
6,9.7,0.9863,0.0137
6,9.8,0.9738,0.0262
6,9.9,0.9570000000000001,0.043
6,10.0,0.9651,0.0349
7,0.1,0.0,1.0
7,0.2,0.0,1.0
7,0.3,0.0,1.0
7,0.4,0.0,1.0
7,0.5,0.0,1.0
7,0.6,0.0,1.0
7,0.7,0.0,1.0
7,0.8,0.0,1.0
7,0.9,0.0,1.0
7,1.0,0.0375,0.9625
7,1.1,0.15259999999999999,0.8473999999999999
7,1.2,0.1054,0.8946
7,1.3,0.1888,0.8111999999999999
7,1.4,0.1478,0.8521999999999998
7,1.5,0.3095,0.6905000000000001
7,1.6,0.37459999999999993,0.6254000000000001
7,1.7,0.4927000000000001,0.5072999999999999
7,1.8,0.49019999999999997,0.5098
7,1.9,0.48879999999999996,0.5112
7,2.0,0.4640000000000001,0.536
7,2.1,0.4486,0.5514
7,2.2,0.5446,0.4554000000000001
7,2.3,0.48210000000000003,0.5178999999999999
7,2.4,0.4391999999999999,0.5608000000000001
7,2.5,0.7393000000000002,0.2607
7,2.6,0.8362000000000002,0.16380000000000003
7,2.7,0.7741000000000001,0.22589999999999996
7,2.8,0.7183999999999999,0.2816
7,2.9,0.7325999999999999,0.2674
7,3.0,0.7517,0.24830000000000002
7,3.1,0.7055000000000001,0.2945
7,3.2,0.8103,0.18969999999999998
7,3.3,0.8525999999999999,0.1474
7,3.4,0.7666000000000001,0.2334
7,3.5,0.7884,0.2116
7,3.6,0.8458,0.1542
7,3.7,0.6814,0.31859999999999994
7,3.8,0.7290000000000001,0.27099999999999996
7,3.9,0.7537999999999999,0.2462
7,4.0,0.8834000000000001,0.11660000000000002
7,4.1,0.8774000000000001,0.12259999999999999
7,4.2,0.9128000000000001,0.08720000000000003
7,4.3,0.8636999999999999,0.1363
7,4.4,0.9185,0.0815
