Need,Greed,Run,Sigma_Index
0.10881443298969072,0.8911855670103094,13,20
0.0906529209621993,0.9093470790378007,13,21
0.07762886597938143,0.9223711340206187,13,22
0.05646048109965636,0.9435395189003436,13,23
0.04042955326460481,0.959570446735395,13,24
0.026890034364261167,0.9731099656357388,13,25
0.02013745704467354,0.9798625429553264,13,26
0.01323024054982818,0.9867697594501718,13,27
0.009123711340206186,0.9908762886597939,13,28
0.008814432989690722,0.9911855670103092,13,29
0.186340206185567,0.813659793814433,14,0
0.17780068728522339,0.8221993127147766,14,1
0.1768556701030928,0.8231443298969071,14,2
0.17175257731958765,0.8282474226804123,14,3
0.16673539518900343,0.8332646048109966,14,4
0.16278350515463919,0.8372164948453608,14,5
0.15487972508591066,0.8451202749140894,14,6
0.15554982817869417,0.8444501718213058,14,7
0.15121993127147768,0.8487800687285224,14,8
0.13986254295532646,0.8601374570446736,14,9
0.1398109965635739,0.8601890034364261,14,10
0.13620274914089348,0.8637972508591065,14,11
0.1309278350515464,0.8690721649484535,14,12
0.1264089347079038,0.8735910652920962,14,13
0.1270274914089347,0.8729725085910653,14,14
0.12482817869415809,0.8751718213058419,14,15
0.11458762886597938,0.8854123711340207,14,16
0.11465635738831613,0.8853436426116839,14,17
0.11061855670103092,0.8893814432989693,14,18
0.10609965635738831,0.8939003436426117,14,19
0.10441580756013745,0.8955841924398625,14,20
0.09195876288659793,0.9080412371134021,14,21
0.08036082474226804,0.919639175257732,14,22
0.05304123711340206,0.9469587628865981,14,23
0.040532646048109966,0.95946735395189,14,24
0.02649484536082474,0.9735051546391751,14,25
0.019243986254295534,0.9807560137457045,14,26
0.014278350515463915,0.9857216494845362,14,27
0.010240549828178696,0.9897594501718212,14,28
0.007611683848797252,0.9923883161512028,14,29
0.19017182130584193,0.809828178694158,15,0
0.18032646048109963,0.8196735395189003,15,1
0.1754639175257732,0.8245360824742268,15,2
0.17350515463917526,0.8264948453608247,15,3
0.17030927835051546,0.8296907216494845,15,4
0.1584536082474227,0.8415463917525773,15,5
0.15831615120274914,0.8416838487972509,15,6
0.1488487972508591,0.8511512027491409,15,7
0.1490721649484536,0.8509278350515465,15,8
0.14262886597938143,0.8573711340206186,15,9
0.13902061855670103,0.860979381443299,15,10
0.13561855670103093,0.8643814432989689,15,11
0.13192439862542957,0.8680756013745705,15,12
0.13,0.87,15,13
0.12278350515463916,0.8772164948453608,15,14
0.1254810996563574,0.8745189003436425,15,15
0.11795532646048108,0.8820446735395188,15,16
0.11426116838487972,0.8857388316151202,15,17
0.11345360824742268,0.8865463917525772,15,18
0.10778350515463916,0.8922164948453608,15,19
0.1072680412371134,0.8927319587628867,15,20
0.09290378006872851,0.9070962199312715,15,21
0.07675257731958764,0.9232474226804125,15,22
0.055223367697594505,0.9447766323024055,15,23
0.03881443298969073,0.9611855670103092,15,24
0.027285223367697595,0.9727147766323022,15,25
0.019312714776632302,0.9806872852233677,15,26
0.01395189003436426,0.9860481099656357,15,27
0.010549828178694159,0.9894501718213059,15,28
0.008247422680412371,0.9917525773195877,15,29
0.18946735395189004,0.81053264604811,16,0
0.180893470790378,0.819106529209622,16,1
0.1784536082474227,0.8215463917525773,16,2
0.16898625429553263,0.8310137457044673,16,3
0.1661340206185567,0.8338659793814434,16,4
0.1654982817869416,0.8345017182130584,16,5
0.15986254295532645,0.8401374570446735,16,6
0.15101374570446738,0.8489862542955326,16,7
0.14869415807560135,0.8513058419243986,16,8
0.14412371134020618,0.8558762886597938,16,9
0.13465635738831616,0.865343642611684,16,10
0.13823024054982821,0.8617697594501719,16,11
0.13323024054982818,0.8667697594501717,16,12
0.1318556701030928,0.8681443298969072,16,13
0.12769759450171822,0.8723024054982818,16,14
0.12544673539518902,0.874553264604811,16,15
0.11807560137457045,0.8819243986254295,16,16
0.11742268041237114,0.8825773195876289,16,17
0.11048109965635741,0.8895189003436427,16,18
0.10926116838487973,0.8907388316151202,16,19
0.10666666666666666,0.8933333333333334,16,20
0.09393470790378007,0.90606529209622,16,21
0.07867697594501719,0.9213230240549829,16,22
0.054828178694158076,0.945171821305842,16,23
0.039295532646048105,0.9607044673539517,16,24
0.025601374570446735,0.9743986254295534,16,25
0.020945017182130585,0.9790549828178695,16,26
0.014553264604810998,0.985446735395189,16,27
0.009690721649484537,0.9903092783505153,16,28
0.008436426116838489,0.9915635738831615,16,29
0.18647766323024056,0.8135223367697595,17,0
0.18312714776632302,0.8168728522336771,17,1
0.17749140893470788,0.8225085910652921,17,2
0.17329896907216494,0.826701030927835,17,3
0.1679896907216495,0.8320103092783505,17,4
0.16639175257731958,0.8336082474226805,17,5
0.15757731958762888,0.8424226804123711,17,6
0.15168384879725086,0.8483161512027492,17,7
0.14647766323024056,0.8535223367697594,17,8
0.1380068728522337,0.8619931271477663,17,9
0.14104810996563574,0.8589518900343642,17,10
0.133213058419244,0.8667869415807561,17,11
0.1359278350515464,0.8640721649484536,17,12
0.12682130584192441,0.8731786941580757,17,13
0.12436426116838487,0.8756357388316152,17,14
0.12079037800687285,0.8792096219931271,17,15
0.1208762886597938,0.8791237113402062,17,16
0.11348797250859106,0.886512027491409,17,17
0.11120274914089347,0.8887972508591064,17,18
0.11013745704467352,0.8898625429553266,17,19
0.10508591065292096,0.8949140893470791,17,20
0.0890721649484536,0.9109278350515465,17,21
0.07670103092783505,0.9232989690721651,17,22
0.055962199312714775,0.9440378006872852,17,23
0.040326460481099655,0.9596735395189003,17,24
0.028780068728522335,0.9712199312714777,17,25
0.018694158075601375,0.9813058419243986,17,26
0.01329896907216495,0.986701030927835,17,27
0.010584192439862543,0.9894158075601374,17,28
0.007319587628865979,0.992680412371134,17,29
0.18965635738831615,0.8103436426116839,18,0
0.18189003436426118,0.8181099656357388,18,1
0.17695876288659793,0.8230412371134022,18,2
0.1711683848797251,0.8288316151202749,18,3
0.1668900343642612,0.8331099656357388,18,4
0.1584536082474227,0.8415463917525773,18,5
0.1543470790378007,0.8456529209621994,18,6
0.15333333333333335,0.8466666666666667,18,7
0.14776632302405499,0.852233676975945,18,8
0.1485910652920962,0.8514089347079038,18,9
0.1393642611683849,0.8606357388316151,18,10
0.13723367697594502,0.862766323024055,18,11
0.1343814432989691,0.8656185567010309,18,12
0.12518900343642608,0.8748109965635739,18,13
0.12524054982817873,0.8747594501718213,18,14
0.12305841924398626,0.8769415807560137,18,15
0.11895189003436424,0.8810481099656358,18,16
0.11293814432989689,0.8870618556701031,18,17
0.11018900343642611,0.8898109965635737,18,18
0.10910652920962198,0.8908934707903781,18,19
0.10501718213058418,0.8949828178694158,18,20
0.09274914089347079,0.9072508591065291,18,21
0.07774914089347079,0.9222508591065293,18,22
0.05542955326460481,0.9445704467353953,18,23
0.037920962199312715,0.9620790378006874,18,24
0.028625429553264605,0.9713745704467353,18,25
0.02065292096219931,0.9793470790378007,18,26
0.014209621993127147,0.9857903780068729,18,27
0.009793814432989692,0.9902061855670102,18,28
0.0070446735395189,0.992955326460481,18,29
0.18960481099656357,0.8103951890034364,19,0
0.17920962199312712,0.8207903780068728,19,1
0.175,0.825,19,2
0.17024054982817868,0.8297594501718213,19,3
0.16625429553264603,0.833745704467354,19,4
0.15936426116838487,0.8406357388316151,19,5
0.15642611683848795,0.8435738831615119,19,6
0.150893470790378,0.8491065292096219,19,7
0.1493127147766323,0.8506872852233677,19,8
0.14747422680412367,0.8525257731958763,19,9
0.13936426116838488,0.8606357388316151,19,10
0.13575601374570448,0.8642439862542955,19,11
0.134106529209622,0.865893470790378,19,12
0.12577319587628866,0.8742268041237113,19,13
0.1223024054982818,0.8776975945017182,19,14
0.12235395189003438,0.8776460481099657,19,15
0.11699312714776633,0.8830068728522337,19,16
0.11585910652920964,0.8841408934707903,19,17
0.11379725085910654,0.8862027491408935,19,18
0.10670103092783505,0.8932989690721649,19,19
0.10621993127147765,0.8937800687285222,19,20
0.09333333333333334,0.9066666666666667,19,21
0.0793127147766323,0.9206872852233677,19,22
0.05891752577319589,0.9410824742268041,19,23
0.04115120274914089,0.958848797250859,19,24
0.028333333333333335,0.9716666666666667,19,25
0.020790378006872848,0.9792096219931273,19,26
0.014501718213058422,0.9854982817869417,19,27
0.010068728522336768,0.9899312714776632,19,28
0.008487972508591065,0.991512027491409,19,29
